"Black Rain","Citizen Kane","Structure/Foundation (What's the Plan)","1996","1990's","Hip-Hop","Life","YouTube"
"BP / No Judgement","Chris Brown","Indigo","2019","2010's","R&B","Party","All"
"Side N****","Chris Brown","Indigo","2019","2010's","R&B","Love","All"
"Focus (feat. Christ Brown) [DJ Envy Remix]","H.E.R.","Focus (feat. Christ Brown) [DJ Envy Remix] - Single","2018","2010's","R&B","Love","All"
"Privacy","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Love","All"
"Questions","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Love","All"
"Confidence","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Love","All"
"Tempo","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Love","All"
"Party (feat. Usher and Gucci Mane)","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Party","All"
"Summer Breeze","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Party","All"
"Tough Love","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Love","All"
"Grass Ain't Greener","Chris Brown","Heartbreak on a Full Moon","2017","2010's","R&B","Moving On","All"
"Back To Sleep","Chris Brown","Royalty (Deluxe Version)","2015","2010's","R&B","Love","All"
"Make Love","Chris Brown","Royalty (Deluxe Version)","2015","2010's","R&B","Love","All"
"Wrist (feat. Solo Lucci)","Chris Brown","Royalty (Deluxe Version)","2015","2010's","R&B","Party","All"
"Liquor","Chris Brown","Royalty (Deluxe Version)","2015","2010's","R&B","Love","All"
"KAE","Chris Brown","Royalty (Deluxe Version)","2015","2010's","R&B","Moving On","All"
"Go Crazy","Chris Brown","Slime & B","2020","2020's","R&B","Party","All"
"Stolen","Chris Brown","Slime & B","2020","2020's","R&B","Moving On","All"
"Who's Gonna (NOBODY) Remix feat. Keith Sweat)","Chris Brown","Who's Gonna (NOBODY) Remix feat. Keith Sweat) - Single","2016","2010's","R&B","Love","All"
"Turn Up the Music","Chris Brown","Fortune (Expanded Edition)","2012","2010's","R&B","Party","All"
"Don't Judge Me","Chris Brown","Fortune (Expanded Edition)","2012","2010's","R&B","Heartbreak","All"
"Strip (feat. Keving McCall)","Chris Brown","Fortune (Expanded Edition)","2012","2010's","R&B","Love","All"
"Don't Wake Me Up","Chris Brown","Fortune (Expanded Edition)","2012","2010's","R&B","Love","All"
"Deuces (feat. Tyga and Kevin McCall)","Chris Brown","F.A.M.E. (Expanded Edition)","2011","2010's","R&B","Moving On","All"
"She Ain't You","Chris Brown","F.A.M.E. (Expanded Edition)","2011","2010's","R&B","Love","All"
"Yeah 3x","Chris Brown","F.A.M.E. (Expanded Edition)","2011","2010's","R&B","Party","All"
"Look At Me Now (feat. Lil' Wayne and Busta Rhymes)","Chris Brown","F.A.M.E. (Expanded Edition)","2011","2010's","R&B","Party","All"
"Beautiful People (feat. Benny Benassi)","Chris Brown","F.A.M.E. (Expanded Edition)","2011","2010's","R&B","Party","All"
"Forever","Chris Brown","Forever - Single","2008","2000's","R&B","Love","All"
"Kiss Kiss (feat. T-Pain)","Chris Brown","Exclusive (Expanded Edition)","2007","2000's","R&B","Party","All"
"With You","Chris Brown","Exclusive (Expanded Edition)","2007","2000's","R&B","Love","All"
"Run It! (feat. Juelz Santana)","Chris Brown","Chris Brown (Expanded Edition)","2005","2000's","R&B","Party","All"
"Yo (Excuse Me Miss)","Chris Brown","Chris Brown (Expanded Edition)","2005","2000's","R&B","Love","All"
"Poppin' - Main","Chris Brown","Chris Brown (Expanded Edition)","2005","2000's","R&B","Love","All"
"Say Goodbye","Chris Brown","Chris Brown (Expanded Edition)","2005","2000's","R&B","Heartbreak","All"

